video_id,block_index,start_sec,end_sec,n_frames,subject,attribute,feature_mode
P016_S00,1,0.5625,1.3125,3,0.9967639874600287,0.03383108973503113,whole_frame
P016_S00,2,1.3125,2.0625,3,0.9975184070378217,0.03370484709739685,whole_frame
P016_S00,3,2.0625,2.8125,3,0.9963088127391133,0.03514990210533142,whole_frame
P016_S00,4,2.8125,3.5625,3,0.9904922404078811,0.03476041555404663,whole_frame
P016_S00,5,3.5625,4.3125,3,0.9904044212485219,0.03445737063884735,whole_frame
P016_S00,6,4.3125,5.0625,3,0.9838529679633884,0.03493295609951019,whole_frame
P016_S00,7,5.0625,5.8125,3,0.9755368142127858,0.035633429884910583,whole_frame
P016_S00,8,5.8125,6.5625,3,0.9696219509671417,0.035130053758621216,whole_frame
P016_S00,9,6.5625,7.3125,3,0.9652544908955998,0.0345144122838974,whole_frame
P016_S00,10,7.3125,8.0625,3,0.9606862237461526,0.03305540978908539,whole_frame
P016_S00,11,8.0625,8.8125,3,0.9675173174621591,0.037022560834884644,whole_frame
P016_S00,12,8.8125,9.5625,3,0.9685112088568258,0.03584913909435272,whole_frame
P016_S00,13,9.5625,10.3125,3,0.9609206750708902,0.03367508947849274,whole_frame
P016_S00,14,10.3125,11.0625,3,0.9658347324789562,0.03389793634414673,whole_frame
P016_S00,15,11.0625,11.8125,3,0.9608571288680317,0.03454062342643738,whole_frame
P016_S00,16,11.8125,12.5625,3,0.9583093328393743,0.0359124094247818,whole_frame
P016_S00,17,12.5625,13.3125,3,0.9567854249905057,0.03317341208457947,whole_frame
P016_S00,18,13.3125,14.0625,3,0.9587926241341933,0.031499892473220825,whole_frame
P016_S00,19,14.0625,14.8125,3,0.9601420377474814,0.031888604164123535,whole_frame
P016_S00,20,14.8125,15.5625,3,0.9537304876052489,0.03211459517478943,whole_frame
P016_S00,21,15.5625,16.3125,3,0.9576850498851825,0.031141698360443115,whole_frame
P016_S00,22,16.3125,17.0625,3,0.9491967488088988,0.03307539224624634,whole_frame
P016_S00,23,17.0625,17.8125,3,0.9521792919062512,0.03204488754272461,whole_frame
P016_S00,24,17.8125,18.5625,3,0.9535606977950899,0.03203055262565613,whole_frame
P016_S00,25,18.5625,19.3125,3,0.9506534966501892,0.029695212841033936,whole_frame
P016_S00,26,19.3125,20.0625,3,0.9493102258213012,0.03119814395904541,whole_frame
P016_S00,27,20.0625,20.8125,3,0.9512863021365295,0.02977415919303894,whole_frame
P016_S00,28,20.8125,21.5625,3,0.9553420929187831,0.031066477298736572,whole_frame
P016_S00,29,21.5625,22.3125,3,0.9567105522470877,0.02973082661628723,whole_frame
P016_S00,30,22.3125,23.0625,3,0.9694595713869483,0.029465436935424805,whole_frame
P016_S00,31,23.0625,23.8125,3,0.9578369140071326,0.030340254306793213,whole_frame
